relation_type,source_argument_id,target_argument_id
Attack,ARG-41_2016-T1026,ARG-41_2016-T1010
Attack,ARG-41_2016-T139,ARG-41_2016-T137
Attack,ARG-41_2016-T142,ARG-41_2016-T137
Attack,ARG-41_2016-T153,ARG-41_2016-T233
Attack,ARG-41_2016-T164,ARG-41_2016-T162
Attack,ARG-41_2016-T174,ARG-41_2016-T5
Attack,ARG-41_2016-T179,ARG-41_2016-T182
Attack,ARG-41_2016-T186,ARG-41_2016-T179
Attack,ARG-41_2016-T192,ARG-41_2016-T187
Attack,ARG-41_2016-T212,ARG-41_2016-T12
Attack,ARG-41_2016-T212,ARG-41_2016-T208
Attack,ARG-41_2016-T220,ARG-41_2016-T236
Attack,ARG-41_2016-T221,ARG-41_2016-T220
Attack,ARG-41_2016-T226,ARG-41_2016-T144
Attack,ARG-41_2016-T236,ARG-41_2016-T225
Attack,ARG-41_2016-T244,ARG-41_2016-T6
Attack,ARG-41_2016-T247,ARG-41_2016-T221
Attack,ARG-41_2016-T279,ARG-41_2016-T270
Attack,ARG-41_2016-T281,ARG-41_2016-T279
Attack,ARG-41_2016-T290,ARG-41_2016-T255
Attack,ARG-41_2016-T290,ARG-41_2016-T285
Attack,ARG-41_2016-T330,ARG-41_2016-T427
Attack,ARG-41_2016-T344,ARG-41_2016-T341
Attack,ARG-41_2016-T353,ARG-41_2016-T329
Attack,ARG-41_2016-T36,ARG-41_2016-T35
Attack,ARG-41_2016-T377,ARG-41_2016-T375
Attack,ARG-41_2016-T387,ARG-41_2016-T379
Attack,ARG-41_2016-T388,ARG-41_2016-T397
Attack,ARG-41_2016-T397,ARG-41_2016-T396
Attack,ARG-41_2016-T402,ARG-41_2016-T397
Attack,ARG-41_2016-T411,ARG-41_2016-T397
Attack,ARG-41_2016-T435,ARG-41_2016-T266
Attack,ARG-41_2016-T511,ARG-41_2016-T515
Attack,ARG-41_2016-T520,ARG-41_2016-T495
Attack,ARG-41_2016-T522,ARG-41_2016-T508
Attack,ARG-41_2016-T567,ARG-41_2016-T520
Attack,ARG-41_2016-T579,ARG-41_2016-T578
Attack,ARG-41_2016-T616,ARG-41_2016-T615
Attack,ARG-41_2016-T632,ARG-41_2016-T623
Attack,ARG-41_2016-T679,ARG-41_2016-T751
Attack,ARG-41_2016-T69,ARG-41_2016-T55
Attack,ARG-41_2016-T702,ARG-41_2016-T698
Attack,ARG-41_2016-T707,ARG-41_2016-T877
Attack,ARG-41_2016-T751,ARG-41_2016-T885
Attack,ARG-41_2016-T752,ARG-41_2016-T679
Attack,ARG-41_2016-T754,ARG-41_2016-T885
Attack,ARG-41_2016-T793,ARG-41_2016-T754
Attack,ARG-41_2016-T849,ARG-41_2016-T829
Attack,ARG-41_2016-T851,ARG-41_2016-T827
Attack,ARG-41_2016-T86,ARG-41_2016-T79
Attack,ARG-41_2016-T861,ARG-41_2016-T828
Attack,ARG-41_2016-T880,ARG-41_2016-T699
Attack,ARG-41_2016-T896,ARG-41_2016-T752
Attack,ARG-41_2016-T972,ARG-41_2016-T967
Equivalent,ARG-41_2016-T149,ARG-41_2016-T226
Equivalent,ARG-41_2016-T175,ARG-41_2016-T243
Equivalent,ARG-41_2016-T240,ARG-41_2016-T139
Equivalent,ARG-41_2016-T244,ARG-41_2016-T245
Equivalent,ARG-41_2016-T255,ARG-41_2016-T252
Equivalent,ARG-41_2016-T470,ARG-41_2016-T464
Equivalent,ARG-41_2016-T500,ARG-41_2016-T499
Equivalent,ARG-41_2016-T507,ARG-41_2016-T505
Equivalent,ARG-41_2016-T508,ARG-41_2016-T675
Equivalent,ARG-41_2016-T6,ARG-41_2016-T164
Equivalent,ARG-41_2016-T645,ARG-41_2016-T646
Equivalent,ARG-41_2016-T897,ARG-41_2016-T896
Support,ARG-41_2016-T100,ARG-41_2016-T93
Support,ARG-41_2016-T1017,ARG-41_2016-T1016
Support,ARG-41_2016-T102,ARG-41_2016-T100
Support,ARG-41_2016-T107,ARG-41_2016-T106
Support,ARG-41_2016-T110,ARG-41_2016-T109
Support,ARG-41_2016-T112,ARG-41_2016-T113
Support,ARG-41_2016-T114,ARG-41_2016-T115
Support,ARG-41_2016-T117,ARG-41_2016-T118
Support,ARG-41_2016-T13,ARG-41_2016-T12
Support,ARG-41_2016-T136,ARG-41_2016-T239
Support,ARG-41_2016-T140,ARG-41_2016-T142
Support,ARG-41_2016-T143,ARG-41_2016-T233
Support,ARG-41_2016-T144,ARG-41_2016-T233
Support,ARG-41_2016-T145,ARG-41_2016-T233
Support,ARG-41_2016-T15,ARG-41_2016-T16
Support,ARG-41_2016-T15,ARG-41_2016-T17
Support,ARG-41_2016-T17,ARG-41_2016-T15
Support,ARG-41_2016-T172,ARG-41_2016-T171
Support,ARG-41_2016-T173,ARG-41_2016-T171
Support,ARG-41_2016-T181,ARG-41_2016-T183
Support,ARG-41_2016-T182,ARG-41_2016-T183
Support,ARG-41_2016-T184,ARG-41_2016-T183
Support,ARG-41_2016-T185,ARG-41_2016-T8
Support,ARG-41_2016-T188,ARG-41_2016-T189
Support,ARG-41_2016-T189,ARG-41_2016-T186
Support,ARG-41_2016-T19,ARG-41_2016-T18
Support,ARG-41_2016-T190,ARG-41_2016-T191
Support,ARG-41_2016-T192,ARG-41_2016-T190
Support,ARG-41_2016-T199,ARG-41_2016-T201
Support,ARG-41_2016-T200,ARG-41_2016-T201
Support,ARG-41_2016-T203,ARG-41_2016-T234
Support,ARG-41_2016-T205,ARG-41_2016-T12
Support,ARG-41_2016-T209,ARG-41_2016-T12
Support,ARG-41_2016-T216,ARG-41_2016-T212
Support,ARG-41_2016-T218,ARG-41_2016-T216
Support,ARG-41_2016-T22,ARG-41_2016-T21
Support,ARG-41_2016-T230,ARG-41_2016-T229
Support,ARG-41_2016-T233,ARG-41_2016-T138
Support,ARG-41_2016-T235,ARG-41_2016-T206
Support,ARG-41_2016-T247,ARG-41_2016-T246
Support,ARG-41_2016-T25,ARG-41_2016-T27
Support,ARG-41_2016-T260,ARG-41_2016-T248
Support,ARG-41_2016-T261,ARG-41_2016-T262
Support,ARG-41_2016-T262,ARG-41_2016-T248
Support,ARG-41_2016-T264,ARG-41_2016-T263
Support,ARG-41_2016-T268,ARG-41_2016-T248
Support,ARG-41_2016-T268,ARG-41_2016-T270
Support,ARG-41_2016-T27,ARG-41_2016-T25
Support,ARG-41_2016-T271,ARG-41_2016-T270
Support,ARG-41_2016-T272,ARG-41_2016-T270
Support,ARG-41_2016-T273,ARG-41_2016-T270
Support,ARG-41_2016-T276,ARG-41_2016-T274
Support,ARG-41_2016-T28,ARG-41_2016-T25
Support,ARG-41_2016-T291,ARG-41_2016-T292
Support,ARG-41_2016-T293,ARG-41_2016-T297
Support,ARG-41_2016-T298,ARG-41_2016-T300
Support,ARG-41_2016-T302,ARG-41_2016-T300
Support,ARG-41_2016-T304,ARG-41_2016-T303
Support,ARG-41_2016-T314,ARG-41_2016-T313
Support,ARG-41_2016-T325,ARG-41_2016-T427
Support,ARG-41_2016-T326,ARG-41_2016-T427
Support,ARG-41_2016-T327,ARG-41_2016-T427
Support,ARG-41_2016-T329,ARG-41_2016-T427
Support,ARG-41_2016-T340,ARG-41_2016-T342
Support,ARG-41_2016-T341,ARG-41_2016-T343
Support,ARG-41_2016-T345,ARG-41_2016-T344
Support,ARG-41_2016-T351,ARG-41_2016-T350
Support,ARG-41_2016-T362,ARG-41_2016-T364
Support,ARG-41_2016-T365,ARG-41_2016-T364
Support,ARG-41_2016-T367,ARG-41_2016-T432
Support,ARG-41_2016-T37,ARG-41_2016-T36
Support,ARG-41_2016-T371,ARG-41_2016-T432
Support,ARG-41_2016-T38,ARG-41_2016-T37
Support,ARG-41_2016-T38,ARG-41_2016-T40
Support,ARG-41_2016-T39,ARG-41_2016-T40
Support,ARG-41_2016-T413,ARG-41_2016-T411
Support,ARG-41_2016-T415,ARG-41_2016-T418
Support,ARG-41_2016-T426,ARG-41_2016-T303
Support,ARG-41_2016-T436,ARG-41_2016-T252
Support,ARG-41_2016-T441,ARG-41_2016-T440
Support,ARG-41_2016-T447,ARG-41_2016-T659
Support,ARG-41_2016-T448,ARG-41_2016-T659
Support,ARG-41_2016-T449,ARG-41_2016-T659
Support,ARG-41_2016-T450,ARG-41_2016-T452
Support,ARG-41_2016-T453,ARG-41_2016-T454
Support,ARG-41_2016-T458,ARG-41_2016-T660
Support,ARG-41_2016-T460,ARG-41_2016-T660
Support,ARG-41_2016-T463,ARG-41_2016-T462
Support,ARG-41_2016-T469,ARG-41_2016-T470
Support,ARG-41_2016-T496,ARG-41_2016-T495
Support,ARG-41_2016-T499,ARG-41_2016-T495
Support,ARG-41_2016-T50,ARG-41_2016-T48
Support,ARG-41_2016-T501,ARG-41_2016-T500
Support,ARG-41_2016-T505,ARG-41_2016-T508
Support,ARG-41_2016-T510,ARG-41_2016-T508
