year,date,section_id,text,fallacy,subcategory,speaker,complete_date,filename,component_id,component_span,component_text
1992,15Oct,7,"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",Ad Hominem,Ad Hominem,BUSH,15 10 1992,21_1992,T716,879 969,"I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long"
1992,13Oct,8,Bill Clinton simply has trouble telling the truth?,Ad Hominem,Ad Hominem,QUAYLE,13 10 1992,18_1992,T739,78848 78897,Bill Clinton simply has trouble telling the truth
2016,26Sep,3,he has a long record of engaging in racist behavior.,Ad Hominem,Ad Hominem,CLINTON,26 9 2016,41_2016,T632,59674 59725,he has a long record of engaging in racist behavior
2016,26Sep,5,she's got no business ability,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T953,87762 87791,she’s got no business ability
2016,26Sep,5,she doesn't have that,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T955,87885 87906,she doesn’t have that
2016,09Oct,1,"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women.",Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T94,9163 9280,"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women"
2016,09Oct,1,We have seen him insult women.,Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T96,9426 9504,Because we've seen this throughout the campaign. We have seen him insult women
2016,09Oct,1,"We’ve seen him rate women on their appearance, ranking them from one to ten.",Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T97,9506 9581,"We've seen him rate women on their appearance, ranking them from one to ten"
2016,09Oct,1,We’ve seen him embarrass women on TV and on Twitter.,Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T98,9583 9635,We've seen him embarrass women on TV and on Twitter.
2016,09Oct,1,"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.So",Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T99,9636 9761,"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms"
2016,09Oct,1,"But it’s not only women, and it’s not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.So",Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T101,9801 9914,"But it's not only women, and it's not only this video that raises questions about his fitness to be our president"
2016,09Oct,1,"So you can say any way you want to say it, but Bill Clinton was abusive to women.Hillary Clinton attacked those same women and attacked them viciously.",Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T126,13018 13098,"o you can say any way you want to say it, but Bill Clinton was abusive to women."
2016,09Oct,1,Donald insulted and attacked them for weeks over their religion.He,Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T134,14989 15053,Donald insulted and attacked them for weeks over their religion.
2016,09Oct,1,she’s lying again,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T159,21158 21175,she's lying again
2004,30Sep,5,The president did nothing.,Ad Hominem,Ad Hominem,KERRY,30 9 2004,29_2004,T713,58729 58754,The president did nothing
1960,21Oct,8,I would say that the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a fundamental error.,Ad Hominem,Ad Hominem,NIXON,21 10 1960,4_1960,T363,45748 45875,the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a fundamental error
2016,26Sep,1,"Donald, I know you live in your own reality, but that is not the facts.",Ad Hominem,Ad Hominem,CLINTON,26 9 2016,41_2016,T190,18460 18481,that is not the facts
2000,03Oct,11,"You know, this man has no credibility on the issue.",Ad Hominem,Ad Hominem,BUSH,3 10 2000,25_2000,T204,83120 83160,this man has no credibility on the issue
2008,26Sep,3,Senator Obama doesn't seem to understand there is a connected between the two.,Ad Hominem,Ad Hominem,MCCAIN,26 9 2008,33_2008,T598,58379 58456,Senator Obama doesn't seem to understand there is a connected between the two
2004,30Sep,2,But the president made a mistake in invading Iraq.,Ad Hominem,Ad Hominem,KERRY,30 9 2004,29_2004,T312,25916 25961,the president made a mistake in invading Iraq
2016,09Oct,3,"when Bernie Sanders said she had bad judgment, she has really bad judgment",Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T357,41330 41373;41374 41598,"They're murderers and some very bad people.And I will tell you very strongly, when Bernie Sanders said she had bad judgment, she has really bad judgment, because we are letting people into this country that are going to cause problems and crime like you've never seen"
2016,26Sep,6,She doesn't have the look.,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T966,88390 88415,She doesn’t have the look
2016,26Sep,6,She doesn't have the stamina.,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T965,88417 88445,She doesn’t have the stamina
2016,26Sep,6,she doesn't have the stamina.,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T968,88447 88482,I said she doesn’t have the stamina
2016,26Sep,6,I don't believe she does have the stamina.,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T967,88488 88529,I don’t believe she does have the stamina
2016,09Oct,7,And she lied. But she’s lied about a lot of things.I,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T371,44994 45002,she lied
2016,09Oct,7,"We have a divided nation, because people like her—and believe me, she has tremendous hate in her heart.",Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T740,75234 75258,We have a divided nation
2016,09Oct,7,She’s got tremendous—she’s got tremendous hatred.,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T660,75617 75644,she's got tremendous hatred
2016,09Oct,7,It was just take a look at the person that she built up to be this wonderful Girl Scout who was no Girl Scout.,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T666,76229 76338,It was just take a look at the person that she built up to be this wonderful Girl Scout who was no Girl Scout
2016,09Oct,7,"And the only one she talked to was Sidney Blumenthal, who’s her friend and not a good guy, by the way.",Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T668,77091 77188,"the only one she talked to was Sidney Blumenthal, who's her friend and not a good guy, by the way"
2004,08Oct,12,I'm wishy-washy,Ad Hominem,Ad Hominem,KERRY,8 10 2004,31_2004,T214,69711 69863,"the president's been very busy running around the country using what I just described to you as a reason to say I'm wishy-washy, that I'm a flip-flopper"
2004,08Oct,12,I'm a flip-flopper,Ad Hominem,Ad Hominem,KERRY,8 10 2004,31_2004,T214,69711 69863,"the president's been very busy running around the country using what I just described to you as a reason to say I'm wishy-washy, that I'm a flip-flopper"
1996,09Oct,3,"Folks, they have no plan. They have absolutely no plan.",Ad Hominem,Ad Hominem,KEMP,9 10 1996,23_1996,T268,31562 31590,They have absolutely no plan
1992,13Oct,6,Bill Clinton has trouble telling the truth. 3 words he fears most in the English language.,Ad Hominem,Ad Hominem,QUAYLE,13 10 1992,18_1992,T319,33813 33855,Bill Clinton has trouble telling the truth
2016,26Sep,4,"it was actually covered very accurately in the New York Times, which is unusual for the New York Times",Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T784,73431 73492,it was actually covered very accurately in the New York Times
2016,26Sep,4,I also have a much better temperament than she has,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T828,77613 77663,I also have a much better temperament than she has
2016,26Sep,4,you were totally out of control,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T832,78056 78199,"The AFL-CIO the other day, behind the blue screen, I don’t know who you were talking to, Secretary Clinton, but you were totally out of control"
2016,26Sep,4,It's lies.,Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T856,80530 80539,It’s lies
2016,09Oct,5,he lives in an alternative reality,Ad Hominem,Ad Hominem,CLINTON,9 10 2016,42_2016,T413,50111 50145,he lives in an alternative reality
2016,09Oct,4,"Look, now she’s blaming—she got caught in a total lie.",Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T372,44822 44851,she got caught in a total lie
2016,09Oct,4,And she lied.,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T371,44994 45002,she lied
2016,26Sep,2,"beautiful.But we have no leadership. And honestly, that starts with Secretary Clinton.",Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T266,25428 25449,we have no leadership
2016,26Sep,2,"Typical politician. All talk, no action.",Ad Hominem,Ad Hominem,TRUMP,26 9 2016,41_2016,T289,27851 27870,"All talk, no action"
2016,26Sep,2,"First, maybe he's not as rich as he says he is.",Ad Hominem,Ad Hominem,CLINTON,26 9 2016,41_2016,T325,32264 32303,maybe he’s not as rich as he says he is
2016,26Sep,2,"Second, maybe he's not as charitable as he claims to be.Third",Ad Hominem,Ad Hominem,CLINTON,26 9 2016,41_2016,T326,32313 32360,maybe he’s not as charitable as he claims to be
2016,19Oct,4,"The biggest complaint they have—it's with all of the problems going on in the world, many of the problems caused by Hillary Clinton and by Barack Obama .",Ad Hominem,Ad Hominem,CLINTON,19 10 2016,43_2016,,,
