year,text,fallacy,speaker,complete_date,component_id,component_span,component_text,source_filename,component_type
1992,"And I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long.",Ad Hominem,BUSH,15 10 1992,T716,39029 39119,"I think you get a certain arrogance, bureaucratic arrogance, if people stay there too long",20_1992,Claim
1992,If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races,Ad Hominem,CLINTON,15 10 1992,T743,40434 40701,"If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to an unfair figh",20_1992,Premise
1992,Till you change it you're gonna be unhappy.,Appeal to Emotion,PEROT,15 10 1992,T822,49908 49950,Till you change it you're gonna be unhappy,20_1992,Claim
1992,"I think the American people want it now. Every place I go I talk about it, and I think they want it done.",Appeal to Authority,BUSH,15 10 1992,T721,39261 39300,I think the American people want it now,20_1992,Claim
1992,"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",Appeal to Authority,CLINTON,15 10 1992,T425,8319 8516,"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go",20_1992,Premise
1992,And I need the help of everybody across this country to get it passed in a substantial way by the Congress.,Appeal to Authority,BUSH,15 10 1992,T631,25019 25121,I need the help of everybody across this country to get it passed in a substantial way by the Congress,20_1992,Claim
1992,"Mr. Perot wants to do the same thing. I agree with him. I mean, we agree with that.",Appeal to Authority,CLINTON,15 10 1992,T580,26798 26834,Mr. Perot wants to do the same thing,20_1992,Premise
1992,"Right from the bottom up, the American people have got to say they want it.",Appeal to Authority,PEROT,15 10 1992,T701,37653 37727,"Right from the bottom up, the American people have got to say they want it",20_1992,Claim
1992,"I'm not a politician, but I think I could go to Washington in a week and get everybody holding hands and get this bill signed because I talk to the Democratic leaders and they want it. I talk to the Republican leaders and they want it.",Appeal to Authority,PEROT,15 10 1992,T594,28561 28610,I talk to the Republican leaders and they want it,20_1992,Premise
1992,"I'm very pleased that the Fraternal Order of Police in Little Rock, Arkansas endorsed me because I think they see I'm trying to strengthen the anti-crime legislation.",Appeal to Authority,BUSH,15 10 1992,T671,35467 35555,"I'm very pleased that the Fraternal Order of Police in Little Rock, Arkansas endorsed me",20_1992,Premise
1992,"But the Washington Post ran a long editorial today saying they couldn't believe Mr. Bush was making character an issue and they said he was the greatest quote ""political chameleon"" for changing his positions of all times.",Appeal to Authority,CLINTON,15 10 1992,T510,18575 18689,the Washington Post ran a long editorial today saying they couldn't believe Mr. Bush was making character an issue,20_1992,Claim
1992,"I've had more people talk to me about their health care problems I guess than anything else, all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children.",Appeal to Emotion,CLINTON,15 10 1992,T751,42533 42669,"all across America -- you know, people who've lost their jobs, lost their businesses, had to give up their jobs because of sick children",20_1992,Premise
1992,"And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs.",Appeal to Emotion,CLINTON,15 10 1992,T584,27130 27249,we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs,20_1992,Claim
1992,And in our country we have evolved to a point where we've put millions of innocent people in jail because you go to the poor neighborhoods and they've put bars on their windows and bars on their doors and put themselves in jail to protect the things that they acquired legitimately.,Appeal to Emotion,PEROT,15 10 1992,T696,37176 37269,in our country we have evolved to a point where we've put millions of innocent people in jail,20_1992,Premise
1992,The facts are though -- the facts are -- the American people are hurting. These people are hurting in the inner cities.,Appeal to Emotion,PEROT,15 10 1992,T607,29370 29442,The facts are though -- the facts are -- the American people are hurting,20_1992,Premise
1992,I'll take the pledge because I know the American people want to talk about issues and not tabloid journalism.,Appeal to Emotion,PEROT,15 10 1992,T525,21575 21595,I'll take the pledge,20_1992,Claim
1992,"I've got 5.5 million hard-working people who put me on the ballot, and I belong to them.",Appeal to Emotion,PEROT,15 10 1992,T539,22899 22964,I've got 5.5 million hard-working people who put me on the ballot,20_1992,Premise
1992,"So we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody.",Appeal to Emotion,CLINTON,15 10 1992,T755,43306 43455,"we have to have, in my judgment, a drastic simplification of the basic health insurance policies of this country, be very comprehensive for everybody",20_1992,Claim
1992,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",Appeal to Emotion,CLINTON,15 10 1992,T766,45127 45198,It's a big human problem and a devastating economic problem for America,20_1992,Premise
1992,"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",Appeal to Emotion,BUSH,15 10 1992,T778,45867 45897,It costs $20-25 billion a year,20_1992,Premise
1992,a sorry little post office that can't do anything right,Appeal to Emotion,BUSH,15 10 1992,T715,38762 38987,"For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together",20_1992,Premise
1992,"And so I favor, strongly favor, term limits.",Appeal to Emotion,BUSH,15 10 1992,T717,39128 39164,"I favor, strongly favor, term limits",20_1992,Claim
1992,"I don't think there are any villains, but, boy, is the system rotten.",Appeal to Emotion,PEROT,15 10 1992,T737,42057 42125,"I don't think there are any villains, but, boy, is the system rotten",20_1992,Claim
1992,strongly,Appeal to Emotion,BUSH,15 10 1992,T502,17751 17835,I believe so strongly in the question you asked that I suggested this format tonight,20_1992,Claim
