source_unique_id,target_unique_id,source_id,target_id,source_text,target_text,relation_class,year
1984_ffe18d75039679331c8b24a4a5be0745,1984_341df83e181e629075d5a33ba4d6ebc5,T630,T441,"The question, I think, should be enlarged","Is America better off than it was 4 years ago? And I believe the answer to that has to also be ""yes.'",Support,1984
1984_4a038b66c4f3df1e21e7e206d3363aa4,1984_341df83e181e629075d5a33ba4d6ebc5,T443,T441,I promised a new beginning,"Is America better off than it was 4 years ago? And I believe the answer to that has to also be ""yes.'",Support,1984
1984_6d015732203a0042f75751d4abfee35f,1984_ffe18d75039679331c8b24a4a5be0745,T440,T630,"I think that most of the people in this country would say, yes, they are better off than they were 4 years ago","The question, I think, should be enlarged",Support,1984
1984_4a038b66c4f3df1e21e7e206d3363aa4,1984_a3ef01f8fa5c333508bd6d6ae77c5992,T443,T631,I promised a new beginning,"So far, it is only a beginning",Support,1984
1984_97b5a7085bce77f4708ff7fa2363f063,1984_119cf67049868b6a45ec5104b0989434,T639,T636,Productivity in the first half of 1980 was down a minus 2 percent,Today it is up a plus 4 percent,Support,1984
1984_52dd534e19e42c0b61d1bc3acfff4349,1984_4fdffd86d58eff4f490f6d8817802ca9,T637,T638,"In the first half of 1980, gross national product was down a minus 3.7 percent",The first half of '84 it's up 8\1/2\ percent,Support,1984
1984_5bbadbeb9865bd8f262fc2bad855f645,1984_813789de8baec9d1087d3692810967d8,T633,T634,"In 1980 -- or 1979, a person with a fixed income of $8,000 was $500 above the poverty line",this maybe explains why there are the numbers still in poverty,Support,1984
1984_92f8ff0dcfd6393d50b48717de3d4630,1984_813789de8baec9d1087d3692810967d8,T632,T634,By 1980 that same person was $500 below the poverty line,this maybe explains why there are the numbers still in poverty,Support,1984
1984_574565139c6a353692fa4538e0b34791,1984_52e2285cacda90095188ab68f21bc563,T640,T442,"With regard to business investment, it is higher than it has been since 1949",We have restored much of our economy,Support,1984
1984_6ed9d57c33f5e3b0f1628d47f06d35b1,1984_52e2285cacda90095188ab68f21bc563,T641,T442,there seems to be no shortage of investment capital,We have restored much of our economy,Support,1984
1984_f641b8674bced7d72ccf835d715deef4,1984_52e2285cacda90095188ab68f21bc563,T635,T442,"Personal earnings after taxes per capita have gone up almost $3,000 in these 4 years",We have restored much of our economy,Support,1984
1984_119cf67049868b6a45ec5104b0989434,1984_52e2285cacda90095188ab68f21bc563,T636,T442,Today it is up a plus 4 percent,We have restored much of our economy,Support,1984
1984_4fdffd86d58eff4f490f6d8817802ca9,1984_52e2285cacda90095188ab68f21bc563,T638,T442,The first half of '84 it's up 8\1/2\ percent,We have restored much of our economy,Support,1984
1984_b15a66259375fb4a8ce82bc634adda24,1984_52e2285cacda90095188ab68f21bc563,T445,T442,"we have reduced inflation, and for 2 years now it has stayed down there, not at double digit, but in the range of 4 or below",We have restored much of our economy,Support,1984
1984_a88024f5068250bbba7c91eff136fe90,1984_52e2285cacda90095188ab68f21bc563,T444,T442,"We have, as I said, cut the taxes",We have restored much of our economy,Support,1984
1984_7ff4184b37056b43edbfd29c4a19dd64,1984_33e6c32224e892a4c96cf202b1a51cd0,T447,T446,"Yes, we have an increase in the defense budget.",We believe that we had also promised that we would make our country more secure.,Support,1984
1984_3be2375604ca2e4cde5bb3b1e666bc3a,1984_33e6c32224e892a4c96cf202b1a51cd0,T643,T446,back then we had planes that couldn't fly for lack of spare parts or pilots,We believe that we had also promised that we would make our country more secure.,Support,1984
1984_980e87f6ad6c1981a38279ba92eb5c99,1984_33e6c32224e892a4c96cf202b1a51cd0,T644,T446,"We had navy vessels that couldn't leave harbor because of lack of crew or, again, lack of spare parts",We believe that we had also promised that we would make our country more secure.,Support,1984
1984_e3f4f2757baaed821a30f34a31ea7fce,1984_33e6c32224e892a4c96cf202b1a51cd0,T642,T446,Today we're well on our way to a 600-ship navy,We believe that we had also promised that we would make our country more secure.,Support,1984
1984_0cd7d1fe2b2e7ed2353fecfe73a4bf50,1984_e3f4f2757baaed821a30f34a31ea7fce,T645,T642,We have 543 at present,Today we're well on our way to a 600-ship navy,Support,1984
1984_8037ac5567d46a623ab81304c2f5bbb3,1984_50a54dbcad7fb6915c0beda3e61c7b79,T454,T455,"then you add to that food and wardrobe, and all the other things",you only have a small portion going for weapons.,Support,1984
1984_ce0b889a134f45c72589f6b274b03f7b,1984_50a54dbcad7fb6915c0beda3e61c7b79,T448,T455,"I think the people should understand that two-thirds of the defense budget pays for pay and salary, or pay and pension",you only have a small portion going for weapons.,Support,1984
1984_e925a2ddafca4728d64f5f58ea5e0cd3,1984_126179de0bfcbce60ccc431855fc4862,T457,T453,"There has been reference to expensive spare parts, hammers costing $500.","I am determined that if ever our men are called on, they should have the best that we can provide in the manner of tools and weapons.",Support,1984
1984_f386a1063bb8b465df4cbff397ce3768,1984_e925a2ddafca4728d64f5f58ea5e0cd3,T456,T457,we are the ones who found those,"There has been reference to expensive spare parts, hammers costing $500.",Support,1984
1984_8bb87386c1085c9ccb9a6138e0ea4c46,1984_83a77e8765bbd4bc5bb5cb5672a49b3c,T450,T449,I think there's an optimism in the land and a patriotism,I think we've given the American people back their spirit,Support,1984
1984_651a30d00b80bb2abdf1a8a2bde21bf2,1984_83a77e8765bbd4bc5bb5cb5672a49b3c,T451,T449,"I think that we're in a position once again to heed the words of Thomas Paine, who said: ""We have it in our power to begin the world over again.''",I think we've given the American people back their spirit,Support,1984
1984_b10cc01a6306592b29b0e81c67772d1d,1984_9e02f1ac14cbba15ee1f57d2e553bbda,T647,T452,"if you're modest income, you're worse off",That's what the economists tell us,Support,1984
1984_cdeb994d73ba7a66fd57d6837d789cc4,1984_9e02f1ac14cbba15ee1f57d2e553bbda,T649,T452,"If you're middle income, you're about where you were",That's what the economists tell us,Support,1984
1984_d7b50294b3860eb0802e0c56a24f9fb5,1984_9e02f1ac14cbba15ee1f57d2e553bbda,T648,T452,"if you're wealthy, you're better off",That's what the economists tell us,Support,1984
1984_75f2777d66285c01287e3302086ba7bd,1984_ea19f48590a651c26e30827f7d797d38,T460,T458,I would rather lose a campaign about decency than win a campaign about self-interest.,I don't think this nation is composed of people who care only for themselves,Support,1984
1984_ca30aa03b02adf1d734865d59078c8a6,1984_7b0d1ffb40a8cec6b0b34baa394d10d7,T650,T651,"when we sought to assault Social Security and Medicare, as the record shows we did",I think that was mean-spirited,Support,1984
1984_57d27db53eaf3549907aa8af69a04daf,1984_b04ec1a6ffb06838830a3a55c9961164,T463,T464,"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years",I don't think that's what America is all about.,Support,1984
1984_c2c497377f0839473c79775e3e713025,1984_a68dcc5cfb4c1faeb0b29c091091664c,T465,T652,America is a fair society,it is not right that Vice President Bush pays less in taxes than the janitor who helps him,Support,1984
1984_a0eb39547ea42c64d914c871ef13d63c,1984_f89cc61755f033e70505cfeffe08a627,T466,T462,I think their record on the environment is inexcusable and often shameful,I believe that we will be better off if we protect this environment,Support,1984
1984_a0eb39547ea42c64d914c871ef13d63c,1984_1be234cf33e53536ae150a050068b1fd,T466,T471,I think their record on the environment is inexcusable and often shameful,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training",Support,1984
1984_226a687cc04c692aaae5e59de9e4830b,1984_1be234cf33e53536ae150a050068b1fd,T461,T471,I believe there's fundamental fairness crying out that needs to be achieved in our tax system,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training",Support,1984
1984_7b0d1ffb40a8cec6b0b34baa394d10d7,1984_1be234cf33e53536ae150a050068b1fd,T651,T471,I think that was mean-spirited,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training",Support,1984
1984_b04ec1a6ffb06838830a3a55c9961164,1984_1be234cf33e53536ae150a050068b1fd,T464,T471,I don't think that's what America is all about.,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training",Support,1984
1984_995a477e43b9ed27a3fb17a3c9b7b7ba,1984_1be234cf33e53536ae150a050068b1fd,T467,T471,this world is more complex and we're being pressed harder all the time,"I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training",Support,1984
1984_5b10ca8321033c24ee086e8706bfa633,1984_a27f97f9669c9c10a7a556542094d85a,T472,T653,we've had civil rights laws and the laws that prohibit discrimination against women,We won the Olympics,Support,1984
1984_157d7c82d68ac1f4a82104747e3b389d,1984_fc56966852353704d7476c79de65eb13,T657,T654,"President Kennedy once said in response to similar arguments, ""We are great, but we can be greater.''",The question is our future,Support,1984
1984_157d7c82d68ac1f4a82104747e3b389d,1984_d1aa505f50f435df6d777d4da76b9d18,T657,T656,"President Kennedy once said in response to similar arguments, ""We are great, but we can be greater.''","We can be better if we face our future, rejoice in our strengths, face our problems, and by solving them, build a better society for our children",Support,1984
1984_226a687cc04c692aaae5e59de9e4830b,1984_52e2285cacda90095188ab68f21bc563,T461,T442,I believe there's fundamental fairness crying out that needs to be achieved in our tax system,We have restored much of our economy,Attack,1984
1984_2aeb50630546f827f5a8024a942d214f,1984_d0b8bd91159a508aa2326ebb0fa0740a,T354,T353,reaching an agreement with the Soviets is the most important thing in the world to you,with respect to the Soviet Union you want to negotiate a mutual nuclear freeze,Support,1984
1984_c4e245e43ba96bed76a60b4ae38e6ac1,1984_9b1d4fd2ff4ba657df4f2ce92e4fd373,T356,T355,"I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology",we have a vast range of technology and weaponry right now that provides all the bargaining chips that we need,Support,1984
1984_e262dbe8471bf1b6ecb7a19f60ecd0bf,1984_a408e11a0de3fbafd90ae480eb616d75,T357,T358,it's a sitting duck,It'll draw an attack,Support,1984
1984_64671bb88f66ab11b17da9fe53b8a325,1984_a408e11a0de3fbafd90ae480eb616d75,T359,T358,"It puts a hair-trigger, and it is a dangerous, destabilizing weapon",It'll draw an attack,Support,1984
1984_ab90d2e5b2702d7a5f9098c91b7da37d,1984_deabb287bc9d7692b01213f2870aac05,T361,T360,for 15 years the Soviet Union has been preparing to meet the B - 1,the B - 1 is similarly to be opposed,Support,1984
1984_ab90d2e5b2702d7a5f9098c91b7da37d,1984_4db04d1b6ecc56bf37df15c517c7dc52,T361,T362,for 15 years the Soviet Union has been preparing to meet the B - 1,The Secretary of Defense himself said it would be a suicide mission if it were built,Support,1984
1984_4db04d1b6ecc56bf37df15c517c7dc52,1984_deabb287bc9d7692b01213f2870aac05,T362,T360,The Secretary of Defense himself said it would be a suicide mission if it were built,the B - 1 is similarly to be opposed,Support,1984
1984_5f4afef8d97a09858342ece2d65afa49,1984_39e94e21b72f5efba21c7aefa89919fc,T582,T363,which is mobile and thus less vulnerable,I want to build the Midgetman,Support,1984
1984_33a5a903563352812edbfadd3c13c96d,1984_39e94e21b72f5efba21c7aefa89919fc,T583,T363,contributing to stability,I want to build the Midgetman,Support,1984
1984_5f4afef8d97a09858342ece2d65afa49,1984_33a5a903563352812edbfadd3c13c96d,T582,T583,which is mobile and thus less vulnerable,contributing to stability,Support,1984
1984_5f4afef8d97a09858342ece2d65afa49,1984_43273670098a75e624d37e67f9011f1e,T582,T584,which is mobile and thus less vulnerable,a weapon that will give us security and contribute to an incentive for arms control,Support,1984
1984_43273670098a75e624d37e67f9011f1e,1984_39e94e21b72f5efba21c7aefa89919fc,T584,T363,a weapon that will give us security and contribute to an incentive for arms control,I want to build the Midgetman,Support,1984
1984_f8cb04a7c686dddd752ac7333dc61ddd,1984_b5f4fa4a963aad15efbabc09fabbf4a7,T585,T364,which I've supported for years,"I'm for Stealth technology, to build a Stealth bomber",Support,1984
1984_f2ca8fc19af163a3e915c5c75a3ab379,1984_f8cb04a7c686dddd752ac7333dc61ddd,T586,T585,that can penetrate the Soviet air defense system without any hope that they can perceive where it is because their radar system is frustrated,which I've supported for years,Support,1984
1984_bb21d11f7b9fb199d155a022cb29fa36,1984_da81fb6c98599a5c52ea9391e7cc848d,T367,T368,Our conventional strength in Europe is under strength,We need to strengthen that,Support,1984
1984_f80cf05f18197b6d58c20cb84cbfe0f3,1984_da81fb6c98599a5c52ea9391e7cc848d,T587,T368,"to assure our Western allies of our presence there, a strong defense",We need to strengthen that,Support,1984
1984_7b02a3e50a1e33c0e5150126ef6a8d18,1984_da81fb6c98599a5c52ea9391e7cc848d,T588,T368,to diminish and reduce the likelihood of a commencement of a war and the use of nuclear weapons,We need to strengthen that,Support,1984
1984_518b69aa02c49d69081f31852df5bd2c,1984_c4e245e43ba96bed76a60b4ae38e6ac1,T365,T356,This makes us stronger,"I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology",Support,1984
1984_434d133a1ee31b749d3096a95fa12287,1984_518b69aa02c49d69081f31852df5bd2c,T366,T365,we can use this money that we save on these weapons to spend on things that we really need,This makes us stronger,Support,1984
1984_c1cd7a2e040db8feebae3a9f589191e5,1984_518b69aa02c49d69081f31852df5bd2c,T369,T365,"in this way, by making wise choices, that we're stronger",This makes us stronger,Support,1984
1984_4d66f7d3b288bc90bb7731b4609202f2,1984_508b3e1cb58431151496df5b51e243c6,T370,T1,Every President until this one has been able to do it,"In other words, a President has to make choices",Support,1984
1984_cb3fe0cf7ad1b520d81ec82dac9a0e82,1984_b8c39738b0d2ede7b34c06b6a9fa2aa8,T376,T373,the Soviets encode their telemetry,testing would be very difficult to verify,Support,1984
1984_cb3fe0cf7ad1b520d81ec82dac9a0e82,1984_7bb0092cf19606995f726fadc6a1232d,T376,T374,the Soviets encode their telemetry,Research would be impossible to verify,Support,1984
1984_b8c39738b0d2ede7b34c06b6a9fa2aa8,1984_d829630b3f20dafa537b70709084d85b,T373,T372,testing would be very difficult to verify,you do have some problems with the extent of the freeze,Support,1984
1984_7bb0092cf19606995f726fadc6a1232d,1984_d829630b3f20dafa537b70709084d85b,T374,T372,Research would be impossible to verify,you do have some problems with the extent of the freeze,Support,1984
1984_ffb819d693cd3c9462530947384ec880,1984_d829630b3f20dafa537b70709084d85b,T375,T372,"Numbers of warheads would be impossible to verify by satellite, except for with onsite inspection",you do have some problems with the extent of the freeze,Support,1984
1984_e10f0c39a7d8d0cce2d4dad234884bd5,1984_d829630b3f20dafa537b70709084d85b,T589,T372,production of any weapon would be impossible to verify,you do have some problems with the extent of the freeze,Support,1984
1984_1038cf4cf2e3f720bd8cd56e13bd9f2d,1984_3facc19ca9445ae351fd33a3fa0a2816,T379,T378,"Whenever a weapon is tested we count the number of warheads on it, and whenever that warhead is used we count that number of warheads, whether they have that number or less on it, or not",The warhead principle -- there have been counting rules for years,Support,1984
1984_3facc19ca9445ae351fd33a3fa0a2816,1984_e15b72a70304c7ba6ea560d910e22768,T378,T2,The warhead principle -- there have been counting rules for years,These are standard rules,Support,1984
1984_65b376a436e5b79cc09544cf648c1992,1984_16f4e8ddc757c84cdc890e0da066e7fb,T381,T380,I don't trust the Russians,"I will not agree to any production restrictions -- or agreements, unless we have the ability to verify those agreements",Support,1984
