source_unique_id,target_unique_id,source_id,target_id,relation_class,year
2008_e19126b1d981e4ae27bfc8565bdba920,2008_b0e917599185216ae313380e315b473a,T362,T363,Support,2008
2008_b9ebaffa5d0f4bf090bbe1fa20b367f8,2008_e2efe969fff14b1b6555543bb68055d1,T364,T365,Support,2008
2008_35d461a901171eb69f662f4a713109f4,2008_f92ea96a7d1a9b911a07be2f3e3439cd,T368,T366,Support,2008
2008_27201cd822758fb8dbc93e821ab27989,2008_b9d06dd1c768de2b0f1ed38ef6c1bcb4,T370,T369,Support,2008
2008_21af51ae75cbc720bf7bce6d5b4bf1ba,2008_27201cd822758fb8dbc93e821ab27989,T371,T370,Support,2008
2008_728f3ad0662c62ea5e8afa1ec105d2e9,2008_08fa9bf27e94f5ebb101120b26f3980a,T372,T373,Support,2008
2008_c80ffa9c4e00ee0bbce930adfd4ea9e1,2008_dae3983deb5844b6f29d74c9e3f40536,T375,T374,Support,2008
2008_134a149aab0662932298827985d5b8c6,2008_c80ffa9c4e00ee0bbce930adfd4ea9e1,T376,T375,Attack,2008
2008_0f1aebaf20374d812da3cb3b8fb7a39b,2008_dae3983deb5844b6f29d74c9e3f40536,T377,T374,Support,2008
2008_4718cae833d26d0322e1d20de415b72e,2008_6800b5f179b9a4e4f3e85a1cee387d8b,T381,T380,Support,2008
2008_b92b0473f9a2f7763020eb91bd144795,2008_6800b5f179b9a4e4f3e85a1cee387d8b,T382,T380,Support,2008
2008_de1aaf0cfaec3d8debabd950b8606228,2008_d8893c3b6ee9b1e82b535d1ae17df34b,T378,T383,Attack,2008
2008_8b8cfcf79ca5ff8670a71e2b7519454c,2008_d8893c3b6ee9b1e82b535d1ae17df34b,T379,T383,Attack,2008
2008_dae3983deb5844b6f29d74c9e3f40536,2008_f92ea96a7d1a9b911a07be2f3e3439cd,T374,T366,Support,2008
2008_31d180c160503953adbbbeaabf39f765,2008_4a21f8f6871e98659a6514f105e51f71,T384,T386,Support,2008
2008_85d99dd391f01590939c7e2b83b2166b,2008_4a21f8f6871e98659a6514f105e51f71,T385,T386,Support,2008
2008_988a7edd8e9c3a78631a4065741270d1,2008_4a21f8f6871e98659a6514f105e51f71,T387,T386,Support,2008
2008_fc6b0745eec271e9dd281b40bcfbd167,2008_988a7edd8e9c3a78631a4065741270d1,T388,T387,Support,2008
2008_09440f0b8af74e12d8a112cf52fb8630,2008_4a21f8f6871e98659a6514f105e51f71,T389,T386,Support,2008
2008_46fe78964e5509608d324c76de21de78,2008_234b9aa913ad79e12bf28a86021855c6,T390,T393,Support,2008
2008_46e8229163c611d765f650caa841e9f9,2008_f852bfcab94204d158d2f934121a86d3,T394,T392,Support,2008
2008_f852bfcab94204d158d2f934121a86d3,2008_234b9aa913ad79e12bf28a86021855c6,T392,T393,Support,2008
2008_7c6e12f5518f5721f6ca0b8c44e4b356,2008_2885b36ae6813967644a7a6a2f93ff50,T398,T395,Support,2008
2008_48139584881534f56738c435a696aa18,2008_c9496cfcd3a22845956db656a4cf84cd,T400,T399,Support,2008
2008_c83caff68ada54dc3d8f224ab0d172be,2008_1c72d392f9ce02b6a79ab0e994a873f2,T401,T402,Support,2008
2008_1c72d392f9ce02b6a79ab0e994a873f2,2008_c9496cfcd3a22845956db656a4cf84cd,T402,T399,Support,2008
2008_2be6ec527b10dac3cd69e69763f0fea3,2008_86ce1159b94f47da9dfdbcfcffa4a583,T408,T409,Support,2008
2008_c205cbd1b86aa56bac5abe9d9f15a89c,2008_86ce1159b94f47da9dfdbcfcffa4a583,T407,T409,Support,2008
2008_a1a6acbc68948c9b2b5f269c29979afd,2008_86ce1159b94f47da9dfdbcfcffa4a583,T406,T409,Support,2008
2008_b9d06dd1c768de2b0f1ed38ef6c1bcb4,2008_f92ea96a7d1a9b911a07be2f3e3439cd,T369,T366,Support,2008
2008_08fa9bf27e94f5ebb101120b26f3980a,2008_b9d06dd1c768de2b0f1ed38ef6c1bcb4,T373,T369,Support,2008
2008_27201cd822758fb8dbc93e821ab27989,2008_08fa9bf27e94f5ebb101120b26f3980a,T370,T373,Support,2008
2008_8b8cfcf79ca5ff8670a71e2b7519454c,2008_6800b5f179b9a4e4f3e85a1cee387d8b,T379,T380,Attack,2008
2008_de1aaf0cfaec3d8debabd950b8606228,2008_b92b0473f9a2f7763020eb91bd144795,T378,T382,Attack,2008
2008_4d7a330a56292e95deffa96567d8ed13,2008_3f7524faa56c3d04e33320e370965cd8,T1,T2,Support,2008
2008_3f7524faa56c3d04e33320e370965cd8,2008_308bf4ae7b72ce5efa9cc7a1a2b2b1b5,T2,T391,Support,2008
2008_308bf4ae7b72ce5efa9cc7a1a2b2b1b5,2008_234b9aa913ad79e12bf28a86021855c6,T391,T393,Support,2008
2008_4d7a330a56292e95deffa96567d8ed13,2008_5ee8637cda51bf32cb86e560afc70b9e,T1,T396,Attack,2008
2008_713b42eb8b42abdf65c8ce4eedb0d0bb,2008_3953f14d206e923e5d6d670b3851ff62,T403,T404,Attack,2008
2008_713b42eb8b42abdf65c8ce4eedb0d0bb,2008_a48dff20a6ae22370bf1ef7d20551e51,T403,T405,Attack,2008
2008_78fe0c343d347d6391db43cb2dba21f9,2008_2885b36ae6813967644a7a6a2f93ff50,T397,T395,Equivalent,2008
2008_02e4f7b106376f510dcb8b5adf38c647,2008_699df3d7133a6c22a82b8cbca75b553c,T413,T414,Support,2008
2008_cddacee3c237bc6726689933fe904f9c,2008_37f5269aa7e813353f250b5eb6795201,T417,T418,Support,2008
2008_8cc389ddaa2de817d33d2ce4412e7777,2008_64125546284754ea935fe0bca05a5050,T424,T419,Attack,2008
2008_773494270bd45cf6fe8aa156ee5ee261,2008_37f5269aa7e813353f250b5eb6795201,T425,T418,Support,2008
2008_d81189f9bd4b4fa6f60d8592f4e7ae5d,2008_37f5269aa7e813353f250b5eb6795201,T426,T418,Support,2008
2008_c430e71c645d53682b909c40ae384ef7,2008_37f5269aa7e813353f250b5eb6795201,T427,T418,Support,2008
2008_773494270bd45cf6fe8aa156ee5ee261,2008_64125546284754ea935fe0bca05a5050,T425,T419,Attack,2008
2008_d81189f9bd4b4fa6f60d8592f4e7ae5d,2008_64125546284754ea935fe0bca05a5050,T426,T419,Attack,2008
2008_c430e71c645d53682b909c40ae384ef7,2008_64125546284754ea935fe0bca05a5050,T427,T419,Attack,2008
2008_95ee37f0ee4395127ccd91ea36640f84,2008_c87c9a3e63de0bea069d5fc8f22d1b84,T411,T410,Support,2008
2008_51c2df32aac4ffccc5d4f76146939b65,2008_10391b529c5aa9ae3871ba1b0f0d3dc4,T430,T431,Support,2008
2008_976c63a45ebb99ad90c1176a9451c88d,2008_10391b529c5aa9ae3871ba1b0f0d3dc4,T421,T431,Support,2008
2008_739195523f0de17bb0151e5a8b290bce,2008_10391b529c5aa9ae3871ba1b0f0d3dc4,T422,T431,Support,2008
2008_0c4796afbb1bc91f658e69f70a02d119,2008_10391b529c5aa9ae3871ba1b0f0d3dc4,T423,T431,Support,2008
2008_655225d66c01c78bf8aa2ed68b3addc5,2008_c193d1aa57268462787c39f1c730230a,T434,T433,Support,2008
2008_3054c5714aecb73ff999ec046830f0f7,2008_c193d1aa57268462787c39f1c730230a,T435,T433,Support,2008
2008_b018450a8fadeacea1b2d4aa621322b1,2008_10391b529c5aa9ae3871ba1b0f0d3dc4,T1,T431,Support,2008
2008_74e541c8614e1456f036db2069e65a44,2008_c0cd6d37c8ebd5ab108a656f7865d581,T439,T438,Support,2008
2008_344119c3e7289028281b22fa36ead93a,2008_14f10deec93e789e3d48a9521ba5c27b,T440,T429,Attack,2008
2008_7514b45e8c0c19b4dfe887e50d0d1b46,2008_4ce39541ca2e620e4cddcd988d52635d,T443,T442,Attack,2008
2008_91bb080b0e58895848fed81fa449d9b1,2008_669c8835debcad8af875ae0728c58468,T444,T446,Support,2008
2008_7514b45e8c0c19b4dfe887e50d0d1b46,2008_669c8835debcad8af875ae0728c58468,T443,T446,Support,2008
2008_4ce39541ca2e620e4cddcd988d52635d,2008_669c8835debcad8af875ae0728c58468,T442,T446,Support,2008
2008_669c8835debcad8af875ae0728c58468,2008_ee9d7525141ace72b0d66bed8aa376b4,T446,T445,Support,2008
2008_170ba05394a9213a3d51662409140fa2,2008_2e3c07f6eb3e936b426a10fe7bc82a59,T447,T448,Support,2008
2008_f7d689dc2329d45abef289a9be4f72c0,2008_ae8ad5544580083d6246d3fd9756da3e,T449,T450,Support,2008
2008_7de2c48dee32af2096adb680d84afd6f,2008_a889600c7dbbf3618be717c22876cfcd,T452,T451,Support,2008
2008_6cd31f58fac6b9aba6fe27ca6fba594e,2008_7a0b7e575ff9f2d669e46cedb3a029ce,T454,T453,Support,2008
2008_ddc1fb339095b0171d2d5fbb99021fb2,2008_f91b8f311368769a324825a06f522cc9,T465,T464,Support,2008
2008_47d85f810b33d9d8ee7aae21c3f38b5d,2008_ec0812c1cbc9723bebd1cb052aee0cab,T469,T466,Support,2008
2008_181932a58528798d5b632030071fbdb9,2008_3e5c9f39d65b5bda26b8ef592bbcb216,T468,T467,Support,2008
2008_b4e11847bb279d7166e03b8e2b3c8c56,2008_3226e730eb330f79106d1cbd479340ca,T455,T475,Support,2008
2008_b93b32d6de2f1df2482c8cac59ade3f7,2008_3226e730eb330f79106d1cbd479340ca,T456,T475,Support,2008
2008_5421d125f8f127b8b21a0dc691688700,2008_b93b32d6de2f1df2482c8cac59ade3f7,T457,T456,Support,2008
2008_3226e730eb330f79106d1cbd479340ca,2008_d051a05382b03a8d9d63171b30cc49d4,T475,T461,Support,2008
2008_58ac2df2ebc5869b1d2a0a777f5ec3a7,2008_d051a05382b03a8d9d63171b30cc49d4,T462,T461,Support,2008
2008_d051a05382b03a8d9d63171b30cc49d4,2008_2e3c07f6eb3e936b426a10fe7bc82a59,T461,T448,Attack,2008
2008_526c6e77178a1e63e385130698188a52,2008_699df3d7133a6c22a82b8cbca75b553c,T412,T414,Attack,2008
2008_9432e93242ded4a356cfa6cce3150170,2008_699df3d7133a6c22a82b8cbca75b553c,T3,T414,Support,2008
2008_2a96240b1dfdb021c86468b3794591d6,2008_699df3d7133a6c22a82b8cbca75b553c,T415,T414,Support,2008
2008_386ca055dcaf8a7764ae766375a15947,2008_699df3d7133a6c22a82b8cbca75b553c,T4,T414,Support,2008
2008_133b6446f150affb72c660b706530f6f,2008_cddacee3c237bc6726689933fe904f9c,T416,T417,Support,2008
2008_c87c9a3e63de0bea069d5fc8f22d1b84,2008_37f5269aa7e813353f250b5eb6795201,T410,T418,Support,2008
2008_828b31ec0738e6f9332505af69f35345,2008_bf9086f048e7b7ba8359af8d975253a3,T5,T6,Support,2008
2008_bf9086f048e7b7ba8359af8d975253a3,2008_c0cd6d37c8ebd5ab108a656f7865d581,T6,T438,Support,2008
2008_2e3c07f6eb3e936b426a10fe7bc82a59,2008_8c59220d4ca0526a28ff330c3ad0e788,T448,T7,Attack,2008
2008_4d5e0162df07cc231961ad42dec0f9d4,2008_ec0812c1cbc9723bebd1cb052aee0cab,T472,T466,Support,2008
2008_c87c9a3e63de0bea069d5fc8f22d1b84,2008_99f936ebbf6d82e64f5f24d46e8ee2ac,T410,T428,Equivalent,2008
2008_10391b529c5aa9ae3871ba1b0f0d3dc4,2008_4d947cd90661bd9d101b7735d0d9268c,T431,T420,Equivalent,2008
2008_8831f019f508b9147762f48a34a302dc,2008_4d5e0162df07cc231961ad42dec0f9d4,T471,T472,Equivalent,2008
2008_47d85f810b33d9d8ee7aae21c3f38b5d,2008_27f2e2475354116ee6d73ed9ef425edb,T469,T2,Equivalent,2008
2008_c7ef16f83395772dcccdd422bc836382,2008_3ed3c0612600104504614f9152f0dd97,T575,T574,Support,2008
2008_73d8df3240ec1085b1bd080519c8e8dd,2008_09ca41ded1be4f7ee7e5f57ef3fd8bfb,T577,T576,Support,2008
2008_ef26c179d3cf90007b87334b6359d892,2008_657cacce5b7dae2f09a44975740916ab,T579,T578,Support,2008
2008_a45ed747b9e7b70ee210fe951f45ea52,2008_ea41b0e10e1543ffd75816976dfcf0b4,T585,T586,Support,2008
2008_6baa58f4aea3115a6ed59f3063d89320,2008_ea41b0e10e1543ffd75816976dfcf0b4,T589,T586,Support,2008
2008_1acf7f7cc6fde6a1d7813e7f20eab11c,2008_ea41b0e10e1543ffd75816976dfcf0b4,T588,T586,Support,2008
2008_e4575ae4843c7146ccea412eb9870fe3,2008_ea41b0e10e1543ffd75816976dfcf0b4,T587,T586,Support,2008
2008_bb285edc91f400374a2478a579a83532,2008_e4575ae4843c7146ccea412eb9870fe3,T583,T587,Support,2008
2008_f57fea3f0ab2dd4e29accc1180a2bf58,2008_e4575ae4843c7146ccea412eb9870fe3,T584,T587,Support,2008
2008_afb21e5f101fab2d4202fd9f471cc402,2008_75d56105dcfb9e0bb37c49325e9843e5,T595,T596,Support,2008
2008_a7d74bbe6eb2d3e8e0a103f8b19f5ab7,2008_75d56105dcfb9e0bb37c49325e9843e5,T594,T596,Support,2008
2008_d91e9daac4787d8715c7f81882934231,2008_75d56105dcfb9e0bb37c49325e9843e5,T593,T596,Support,2008
