subj,subj_type,subj_span,obj,obj_type,obj_span,relation
we will have to add a uh - I think uh - a few billion dollars to our defense appropriations,Claim,"(3093, 3184)","I believe that the American people, in the next four years under a Ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have",Claim,"(2791, 2969)",Support
In the two-hundred-year history there's been a very uh - cautious approach to this,Premise,"(44347, 44429)",I would not work hard to support any of those,Claim,"(44142, 44187)",Support
"the record of gun control, whether it's one city or another or in some states, does not show that the registration of a gun, handgun, or the registration of the gun owner, has in any way whatsoever decreased the crime rate or the use of that gun in the committing of a crime",Premise,"(47418, 47692)",The record just doesn't prove that such legislation or action by a local city council is effective,Premise,"(47694, 47792)",Support
put a unified court system in,Premise,"(51780, 51809)","While I was governor of Georgia, although I'm not a lawyer, we had complete reform of the Georgia court system",Claim,"(51588, 51698)",Support
I don't think the record justifies the conclusion that you come to,Claim,"(58075, 58141)",I violently disagree with your assessment,Claim,"(58028, 58069)",Support
"When I was that far ahead, it was immediately following the Democratic Convention, and before the Republican Convention",Premise,"(64618, 64737)",that's not exactly an accurate description of what happened,Claim,"(64557, 64616)",Support
I saw them work,Premise,"(69245, 69260)",For twenty-five years I served in the Congress under five presidents,Premise,"(69175, 69243)",Support
One major reason for this apathetic electorate appears to be the low level at which this campaign has been conducted,Premise,"(8408, 8524)",voters are so turned off by this election campaign so far that only half intend to vote,Claim,"(8319, 8406)",Support
"the testimony under oath was to the effect that I did not talk to Mr. Nixon, to Mr. Haldeman, to Mr. Ehrlichman, or to any of the people at the White House",Premise,"(13880, 14035)","I testified before two committees, House and Senate, on precisely the questions that you have asked",Premise,"(13775, 13874)",Support
President Tito is old and sick and there are divisions in his country,Premise,"(16617, 16686)",the next big crisis spot in the world may be Yugoslavia,Claim,"(16555, 16610)",Support
"General Brown has indicated uh - his apology, his regrets",Premise,"(21022, 21079)","I think that will, uh - in this situation, settle the matter",Claim,"(21085, 21145)",Support
they don't feel that uh - they know you or the people around you,Premise,"(23576, 23640)",many Americans uh - still seem to be uneasy about you,Claim,"(23516, 23569)",Support
"it was the overwhelming consensus of knowledgeable people that that strip-mining bill would have meant the loss of literally uh - thousands of jobs, something around a hundred and forty thousand jabs",Premise,"(29357, 29556)",I vetoed the strip-mining bill,Claim,"(29306, 29336)",Support
they can't anticipate what's gonna happen next,Premise,"(34268, 34314)",It's impossible for mayors or governors to cooperate with the resident,Claim,"(34188, 34258)",Support
study after study has shown little progress in desegregation and in fact actual increases in segregated schools and housing in the Northeast,Premise,"(38925, 39065)","for black Americans, President Ford is quietly getting the job done",Claim,"(38850, 38917)",Attack
we will have to maintain an adequate military capability,Premise,"(3005, 3061)","I believe that the American people, in the next four years under a Ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have",Claim,"(2791, 2969)",Support
"we've always had, I think, a lot of constitutional amendments proposed, but the passage of them has been uh - fairly slow, and uh - few and far between",Premise,"(44194, 44345)",I would not work hard to support any of those,Claim,"(44142, 44187)",Support
"If we make the use of a gun in the commission. of a crime a serious criminal offense, and that person is prosecuted",Premise,"(47968, 48083)","in my opinion, we are going after the person who uses the gun for the wrong reason",Claim,"(48091, 48173)",Support
put in administrative officers,Premise,"(51748, 51778)","While I was governor of Georgia, although I'm not a lawyer, we had complete reform of the Georgia court system",Claim,"(51588, 51698)",Support
it was announced that the uh - GNP real growth in the third quarter was at 4 percent,Premise,"(58244, 58328)",let me uh - talk about uh - the economic announcements that were made just this past week,Premise,"(58148, 58237)",Support
"the polls uh - are good indications of fluctuations, but they vary widely one from another",Premise,"(65127, 65217)","the only poll I've ever followed is the one that uh - you know, is taken on election day",Claim,"(65223, 65311)",Support
I saw them make very hard decisions,Premise,"(69262, 69297)",For twenty-five years I served in the Congress under five presidents,Premise,"(69175, 69243)",Support
It has digressed frequently from important issues into allegations of blunder and brainwashing and fixations on lust and Playboy,Premise,"(8526, 8654)",One major reason for this apathetic electorate appears to be the low level at which this campaign has been conducted,Premise,"(8408, 8524)",Support
