file,T_id,role
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T151_argument.csv,T151,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T549_argument.csv,T549,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T302_argument.csv,T302,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T220_argument.csv,T220,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T215_argument.csv,T215,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T77_argument.csv,T77,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T364_argument.csv,T364,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T496_argument.csv,T496,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T8_argument.csv,T8,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T154_argument.csv,T154,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/10_1984/T459_argument.csv,T459,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T348_argument.csv,T348,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T357_argument.csv,T357,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T341_argument.csv,T341,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T691_argument.csv,T691,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T155_argument.csv,T155,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/11_1984/T328_argument.csv,T328,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/12_1984/T473_argument.csv,T473,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T156_argument.csv,T156,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T721_argument.csv,T721,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T135_argument.csv,T135,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T778_argument.csv,T785,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T686_argument.csv,T686,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T305_argument.csv,T306,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T470_argument.csv,T470,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T301_argument.csv,T301,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T363_argument.csv,T363,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T471_argument.csv,T471,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T907_argument.csv,T972,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T228_argument.csv,T228,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T155_argument.csv,T155,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T924_argument.csv,T972,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T154_argument.csv,T154,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T954_argument.csv,T954,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T130_argument.csv,T130,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/13_1988/T922_argument.csv,T922,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/14_1988/T331_argument.csv,T331,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/14_1988/T170_argument.csv,T170,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/16_1992/T461_argument.csv,T461,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/17_1992/T17_argument.csv,T17,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T293_argument.csv,T348,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T156_argument.csv,T156,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T657_argument.csv,T657,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T456_argument.csv,T456,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T524_argument.csv,T524,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T422_argument.csv,T422,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T607_argument.csv,T607,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/18_1992/T124_argument.csv,T124,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/19_1992/T566_argument.csv,T566,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/21_1992/T95_argument.csv,T118,Premise
